"LSOA21CD","LSOA11CD","postcode_count","postcode_pct"
"E01000722","E01000724",1,0.0169491525423729
"E01000722","E01000725",1,0.0169491525423729
"E01000723","E01000723",27,1
"E01000724","E01000724",28,1
"E01000725","E01000725",23,1
"E01000726","E01000726",24,1
"E01000727","E01000727",42,1
"E01000728","E01000728",55,1
"E01000729","E01000729",40,0.975609756097561
"E01000729","E01000739",1,0.024390243902439
"E01000730","E01000730",37,1
"E01000731","E01000731",25,1
"E01000732","E01000732",30,1
"E01000733","E01000733",31,1
"E01000734","E01000734",21,1
"E01000735","E01000735",31,1
"E01000736","E01000736",26,1
"E01000737","E01000737",25,1
"E01000738","E01000738",30,1
"E01000739","E01000739",27,1
"E01000741","E01000741",22,1
"E01000742","E01000742",31,1
"E01000743","E01000743",30,0.967741935483871
"E01000743","E01000800",1,0.032258064516129
"E01000744","E01000743",1,0.0277777777777778
"E01000744","E01000744",35,0.972222222222222
"E01000745","E01000745",63,1
"E01000746","E01000746",46,1
"E01000747","E01000747",69,1
"E01000748","E01000748",60,1
"E01000749","E01000749",51,1
"E01000750","E01000750",28,1
"E01000751","E01000751",47,1
"E01000752","E01000752",52,1
"E01000753","E01000753",40,1
"E01000754","E01000754",36,1
"E01000755","E01000755",32,1
"E01000756","E01000756",43,1
