"lsoa11","all_gs_access_pct","all_with_row_gs_access_pct","doorstep_gs_access_pct","local_gs_access_pct","neighbourhood_gs_access_pct","combined_std_gs_access_pct","partialcombined_std_gs_access_pct"
"E01023396",1,1,0.420621931260229,0.561374795417349,1,0.312602291325696,0.831423895253682
"E01023397",1,1,0.213754646840149,0.328996282527881,1,0.197026022304833,0.381040892193309
"E01023398",1,1,0.497054825555052,0.352514725872225,0.997281377435433,0.338468509288627,0.738106026280018
"E01023399",0.997916666666667,1,0.389583333333333,0.711458333333333,0.997916666666667,0.4625,0.828125
"E01023400",1,1,0.307349665924276,0.394209354120267,1,0.247216035634744,0.585746102449889
"E01023401",1,1,0.471311475409836,0.733606557377049,1,0.521857923497268,0.819672131147541
"E01023402",1,1,0.367583212735166,0.257597684515195,1,0.130246020260492,0.657018813314038
"E01023403",1,1,0.356521739130435,0.602898550724638,1,0.444927536231884,0.636231884057971
"E01023404",1,1,0.580645161290323,0.946869070208729,1,0.713472485768501,0.998102466793169
"E01023405",1,1,0.138198757763975,0.305900621118012,1,0.159937888198758,0.389751552795031
"E01023406",0.981481481481482,0.998910675381264,0.447712418300654,0.247276688453159,0.952069716775599,0.247276688453159,0.588235294117647
"E01023407",0.424242424242424,0.51969696969697,0.136363636363636,0.215151515151515,0.424242424242424,0.151515151515152,0.221212121212121
"E01023408",0.980141843971631,1,0.463829787234043,0.642553191489362,0.980141843971631,0.48936170212766,0.707801418439716
"E01023409",1,1,0.633713561470216,0.82382762991128,1,0.652724968314322,0.888466413181242
"E01023410",0.998214285714286,0.998214285714286,0.398214285714286,0.317857142857143,0.994642857142857,0.292857142857143,0.546428571428571
"E01023411",1,1,0.236156351791531,0.405537459283388,0.739413680781759,0.302931596091205,0.447882736156352
"E01023412",1,1,0.254980079681275,0.213147410358566,0.814741035856574,0.129482071713147,0.438247011952191
"E01023413",1,1,0.539033457249071,0.66542750929368,1,0.408921933085502,0.886617100371747
"E01023414",0.968253968253968,0.968253968253968,0,0.00933706816059757,0.968253968253968,0.00186741363211951,0.00186741363211951
"E01023415",1,1,0.0493827160493827,0.139329805996473,0.941798941798942,0.0740740740740741,0.151675485008818
"E01023416",0.918639053254438,0.998520710059172,0.107988165680473,0.0606508875739645,0.107988165680473,0.0488165680473373,0.112426035502959
"E01023417",0.823451910408432,0.994729907773386,0.129117259552042,0.00263504611330698,0.281949934123847,0,0.1699604743083
"E01023418",0.973561430793157,0.992223950233281,0.31104199066874,0,0.0917573872472784,0,0.416796267496112
"E01023419",0.125292740046838,1,0.0737704918032787,0,0,0,0.094847775175644
"E01023420",1,1,0.102272727272727,0,0.392857142857143,0,0.157467532467532
"E01023421",0.764305177111717,1,0.222070844686649,0,0.00272479564032698,0,0.257493188010899
"E01023422",0.883858267716535,1,0.248031496062992,0.00196850393700787,0.133858267716535,0.00196850393700787,0.279527559055118
"E01023423",1,1,0.390243902439024,0.486521181001284,0.975609756097561,0.385109114249037,0.566110397946085
"E01023424",0.360730593607306,1,0.234398782343988,0,0,0,0.272450532724505
"E01023425",1,1,0.397590361445783,0.00172117039586919,0.826161790017212,0,0.499139414802065
"E01023426",1,1,0.0982248520710059,0.0106508875739645,0.956213017751479,0,0.125443786982249
"E01023427",1,1,0.494444444444444,0,0.966666666666667,0,0.640277777777778
"E01023428",0.979559748427673,1,0.229559748427673,0.0110062893081761,0.776729559748428,0.0110062893081761,0.221698113207547
"E01023429",1,1,0.362971985383678,0.348355663824604,1,0.309378806333739,0.601705237515225
"E01023430",0.708571428571429,0.979047619047619,0.171428571428571,0.0114285714285714,0.0152380952380952,0.0114285714285714,0.207619047619048
"E01023431",0.632352941176471,0.994485294117647,0.347426470588235,0.376838235294118,0.424632352941176,0.345588235294118,0.380514705882353
"E01023432",0.86,1,0.145714285714286,0.114285714285714,0.794285714285714,0.0985714285714286,0.162857142857143
"E01023433",1,1,0.128939828080229,0.0830945558739255,0.998567335243553,0.0458452722063037,0.259312320916905
"E01023434",1,1,0.928977272727273,0.926136363636364,1,0.933238636363636,0.991477272727273
"E01023435",0.995750708215297,1,0.165722379603399,0.106232294617564,0.984419263456091,0.0708215297450425,0.253541076487252
"E01023436",1,1,0.705050505050505,0.953535353535354,1,0.745454545454545,0.97979797979798
"E01023437",1,1,0.403641881638847,0.412746585735964,1,0.289833080424886,0.68133535660091
"E01023438",0.546583850931677,0.579192546583851,0.0496894409937888,0,0.513975155279503,0,0.0698757763975155
"E01023439",0.848428835489834,0.848428835489834,0.192236598890943,0,0.77449168207024,0,0.236598890942699
"E01023440",0.245945945945946,0.308108108108108,0.00135135135135135,0,0.172972972972973,0,0.00945945945945946
"E01023441",1,1,0,0.0693430656934307,1,0.00547445255474453,0.111313868613139
"E01023442",0.891257995735608,0.990405117270789,0.0927505330490405,0,0.0575692963752665,0,0.131130063965885
"E01023443",1,1,0.211783439490446,0.0334394904458599,0.990445859872611,0.00636942675159236,0.300955414012739
"E01023444",0.721871049304678,1,0,0,0.246523388116308,0,0
"E01023445",0.997304582210243,0.997304582210243,0.0417789757412399,0,0.349056603773585,0,0.055256064690027
"E01023446",0.994855305466238,1,0,0.0102893890675241,0.985209003215434,0,0.0122186495176849
"E01023447",1,1,0,0,0.385964912280702,0,0
"E01023448",1,1,0.764505119453925,0.812286689419795,1,0.723549488054608,0.945392491467577
"E01023449",1,1,0.185185185185185,0.0740740740740741,0.991060025542784,0.0242656449553001,0.337164750957854
"E01023450",0.998015873015873,1,0.23015873015873,0.554232804232804,0.994047619047619,0.272486772486772,0.598544973544973
"E01023451",1,1,0.0227497527200791,0.15727002967359,1,0.029673590504451,0.233432245301681
"E01023452",1,1,0.180616740088106,0.114537444933921,1,0.0506607929515418,0.301762114537445
"E01023453",0.428699551569507,1,0.269058295964126,0,0.24304932735426,0,0.295964125560538
"E01023454",0.0142421159715158,1,0.00508646998982706,0,0.00406917599186165,0,0.00610376398779247
"E01023455",1,1,0.013745704467354,0.0515463917525773,0.948453608247423,0.013745704467354,0.0721649484536082
"E01023456",1,1,0.00972762645914397,0.0311284046692607,1,0.00583657587548638,0.0817120622568093
"E01023457",1,1,0,0,0.89413680781759,0,0.00325732899022801
"E01023458",0.18783542039356,0.966010733452594,0,0,0,0,0
"E01023459",1,1,0.132508833922261,0.330388692579505,1,0.234982332155477,0.386925795053004
"E01023460",0.586991869918699,1,0.0959349593495935,0.139837398373984,0.586991869918699,0.0959349593495935,0.147967479674797
"E01023461",1,1,0.103448275862069,0.247126436781609,1,0.116858237547893,0.298850574712644
"E01023462",0.266998341625207,0.991708126036484,0.0199004975124378,0,0,0,0.0248756218905473
"E01023463",0.71864406779661,0.923728813559322,0.211864406779661,0,0,0,0.255932203389831
"E01023464",0.23081499107674,0.991076740035693,0.0345032718619869,0,0,0,0.0321237358715051
"E01023465",0.915848527349229,0.992987377279102,0.199158485273492,0.124824684431978,0,0,0.215988779803647
"E01023466",0.78659793814433,1,0.296907216494845,0,0,0,0.388659793814433
"E01023467",0.797642436149312,0.99901768172888,0.259332023575639,0.111001964636542,0,0.00392927308447937,0.316306483300589
"E01023468",0.364130434782609,1,0,0,0.0235507246376812,0,0
"E01023469",0.720064724919094,0.825242718446602,0.00485436893203883,0,0,0,0.00485436893203883
"E01023470",1,1,0.0726895119418484,0.175493250259605,0.899273104880582,0.09865005192108,0.200415368639668
"E01023471",0.953528399311532,0.994836488812392,0.132530120481928,0,0.951807228915663,0,0.142857142857143
"E01023472",0.761217948717949,1,0.203525641025641,0,0.761217948717949,0,0.254807692307692
"E01023473",0.897269180754226,1,0.148244473342003,0.0624187256176853,0.897269180754226,0.0299089726918075,0.189856957087126
"E01023474",0.858420268256334,1,0.113263785394933,0.114754098360656,0.816691505216095,0.104321907600596,0.123695976154993
"E01023475",0.0851393188854489,1,0.208978328173375,0,0,0,0.244582043343653
"E01023476",0.638107416879795,0.994884910485934,0.0421994884910486,0,0.0358056265984655,0,0.040920716112532
"E01023477",0.954365079365079,0.996031746031746,0,0,0.909722222222222,0,0
"E01023478",1,1,0.218546958062611,0.360307147076196,0.982870643827525,0.229769639692853,0.35380980507974
"E01023479",0.370121130551817,0.695827725437416,0.0417227456258412,0,0.184387617765814,0,0.0524899057873486
"E01023480",0.988919667590028,1,0.746537396121884,0.940443213296399,0.986149584487535,0.817174515235457,0.95983379501385
"E01023481",0.885761589403974,0.975165562913907,0.58112582781457,0.658940397350993,0.771523178807947,0.52317880794702,0.695364238410596
"E01023482",0.71484888304862,1,0.0026281208935611,0,0.71484888304862,0,0.00919842312746386
"E01023483",1,1,0.141282565130261,0.294589178356713,1,0.168336673346693,0.32565130260521
